[1/300] Average loss: 0.0151, time cost: 1313.98s.
[2/300] Average loss: 0.0134, time cost: 1313.13s.
[3/300] Average loss: 0.0125, time cost: 1313.33s.
[4/300] Average loss: 0.0124, time cost: 1313.41s.
[5/300] Average loss: 0.0122, time cost: 1310.58s.
[6/300] Average loss: 0.0125, time cost: 1311.43s.
[7/300] Average loss: 0.0122, time cost: 1309.53s.
[8/300] Average loss: 0.0121, time cost: 1306.54s.
[9/300] Average loss: 0.0186, time cost: 1310.11s.
[10/300] Average loss: 0.0135, time cost: 1309.43s.
[11/300] Average loss: 0.0123, time cost: 1310.15s.
[12/300] Average loss: 0.0122, time cost: 1308.30s.
[13/300] Average loss: 0.0120, time cost: 1311.37s.
[14/300] Average loss: 0.0118, time cost: 1309.35s.
[15/300] Average loss: 0.0119, time cost: 1310.44s.
[16/300] Average loss: 0.0116, time cost: 1311.80s.
[17/300] Average loss: 0.0115, time cost: 1311.06s.
[18/300] Average loss: 0.0122, time cost: 1311.31s.
[19/300] Average loss: 0.0114, time cost: 1311.86s.
[20/300] Average loss: 0.0116, time cost: 1311.37s.
[21/300] Average loss: 0.0116, time cost: 1314.90s.
[22/300] Average loss: 0.0117, time cost: 1312.12s.
[23/300] Average loss: 0.0118, time cost: 1312.56s.
[24/300] Average loss: 0.0116, time cost: 1311.80s.
[25/300] Average loss: 0.0114, time cost: 1313.33s.
[26/300] Average loss: 0.0111, time cost: 1314.70s.
[27/300] Average loss: 0.0115, time cost: 1313.86s.
[28/300] Average loss: 0.0116, time cost: 1314.84s.
[29/300] Average loss: 0.0117, time cost: 1311.85s.
[30/300] Average loss: 0.0114, time cost: 1315.07s.
[31/300] Average loss: 0.0111, time cost: 1312.76s.
[32/300] Average loss: 0.0114, time cost: 1315.97s.
[33/300] Average loss: 0.0114, time cost: 1314.12s.
[34/300] Average loss: 0.0112, time cost: 1314.89s.
[35/300] Average loss: 0.0112, time cost: 1310.94s.
[36/300] Average loss: 0.0111, time cost: 1310.63s.
[37/300] Average loss: 0.0114, time cost: 1313.53s.
[38/300] Average loss: 0.0113, time cost: 1315.72s.
[39/300] Average loss: 0.0110, time cost: 1313.91s.
[40/300] Average loss: 0.0115, time cost: 1310.03s.
[41/300] Average loss: 0.0108, time cost: 1314.22s.
[42/300] Average loss: 0.0112, time cost: 1311.32s.
[43/300] Average loss: 0.0110, time cost: 1313.46s.
[44/300] Average loss: 0.0108, time cost: 1314.25s.
[45/300] Average loss: 0.0111, time cost: 1313.22s.
[46/300] Average loss: 0.0110, time cost: 1315.86s.
[47/300] Average loss: 0.0111, time cost: 1313.47s.
[48/300] Average loss: 0.0114, time cost: 1311.77s.
[49/300] Average loss: 0.0110, time cost: 1309.65s.
[50/300] Average loss: 0.0110, time cost: 1310.76s.
[51/300] Average loss: 0.0114, time cost: 1310.74s.
[52/300] Average loss: 0.0109, time cost: 1311.31s.
[53/300] Average loss: 0.0113, time cost: 1308.77s.
[54/300] Average loss: 0.0112, time cost: 1309.15s.
[55/300] Average loss: 0.0109, time cost: 1310.87s.
[56/300] Average loss: 0.0114, time cost: 1308.68s.
[57/300] Average loss: 0.0108, time cost: 1310.54s.
[58/300] Average loss: 0.0110, time cost: 1307.97s.
[59/300] Average loss: 0.0116, time cost: 1312.86s.
[60/300] Average loss: 0.0112, time cost: 1308.71s.
[61/300] Average loss: 0.0110, time cost: 1310.90s.
[62/300] Average loss: 0.0112, time cost: 1311.70s.
[63/300] Average loss: 0.0110, time cost: 1309.25s.
[64/300] Average loss: 0.0107, time cost: 1309.62s.
[65/300] Average loss: 0.0110, time cost: 1311.85s.
[66/300] Average loss: 0.0109, time cost: 1310.65s.
[67/300] Average loss: 0.0107, time cost: 1309.04s.
[68/300] Average loss: 0.0111, time cost: 1309.68s.
[69/300] Average loss: 0.0110, time cost: 1310.72s.
[70/300] Average loss: 0.0111, time cost: 1312.36s.
[71/300] Average loss: 0.0112, time cost: 1310.21s.
[72/300] Average loss: 0.0109, time cost: 1310.61s.
[73/300] Average loss: 0.0108, time cost: 1310.77s.
[74/300] Average loss: 0.0107, time cost: 1309.01s.
[75/300] Average loss: 0.0111, time cost: 1309.58s.
