[1/300] Average loss: 0.0175, time cost: 796.88s.
[2/300] Average loss: 0.0147, time cost: 713.69s.
[3/300] Average loss: 0.0142, time cost: 809.42s.
[4/300] Average loss: 0.0137, time cost: 780.36s.
[5/300] Average loss: 0.0130, time cost: 741.79s.
[6/300] Average loss: 0.0129, time cost: 793.79s.
[7/300] Average loss: 0.0129, time cost: 837.81s.
[8/300] Average loss: 0.0126, time cost: 783.30s.
[9/300] Average loss: 0.0122, time cost: 729.55s.
[10/300] Average loss: 0.0129, time cost: 753.65s.
[11/300] Average loss: 0.0122, time cost: 781.92s.
[12/300] Average loss: 0.0124, time cost: 743.99s.
[13/300] Average loss: 0.0123, time cost: 780.05s.
[14/300] Average loss: 0.0120, time cost: 760.50s.
[15/300] Average loss: 0.0122, time cost: 743.33s.
[16/300] Average loss: 0.0120, time cost: 748.12s.
[17/300] Average loss: 0.0120, time cost: 794.73s.
[18/300] Average loss: 0.0121, time cost: 760.91s.
[19/300] Average loss: 0.0124, time cost: 743.48s.
[20/300] Average loss: 0.0125, time cost: 784.02s.
[21/300] Average loss: 0.0117, time cost: 843.92s.
[22/300] Average loss: 0.0119, time cost: 711.33s.
[23/300] Average loss: 0.0116, time cost: 758.93s.
[24/300] Average loss: 0.0123, time cost: 766.52s.
[25/300] Average loss: 0.0117, time cost: 817.03s.
[26/300] Average loss: 0.0118, time cost: 774.96s.
[27/300] Average loss: 0.0118, time cost: 772.22s.
[28/300] Average loss: 0.0118, time cost: 773.01s.
[29/300] Average loss: 0.0117, time cost: 742.25s.
[30/300] Average loss: 0.0123, time cost: 740.04s.
[31/300] Average loss: 0.0117, time cost: 740.14s.
[32/300] Average loss: 0.0116, time cost: 762.95s.
[33/300] Average loss: 0.0116, time cost: 728.23s.
[34/300] Average loss: 0.0114, time cost: 752.42s.
[35/300] Average loss: 0.0123, time cost: 696.01s.
[36/300] Average loss: 0.0116, time cost: 725.80s.
[37/300] Average loss: 0.0114, time cost: 816.98s.
[38/300] Average loss: 0.0114, time cost: 757.61s.
[39/300] Average loss: 0.0118, time cost: 858.37s.
[40/300] Average loss: 0.0116, time cost: 674.99s.
[41/300] Average loss: 0.0114, time cost: 769.88s.
[42/300] Average loss: 0.0118, time cost: 784.25s.
[43/300] Average loss: 0.0114, time cost: 751.42s.
[44/300] Average loss: 0.0122, time cost: 733.56s.
[45/300] Average loss: 0.0118, time cost: 765.18s.
[46/300] Average loss: 0.0113, time cost: 782.55s.
[47/300] Average loss: 0.0115, time cost: 786.64s.
[48/300] Average loss: 0.0120, time cost: 769.59s.
[49/300] Average loss: 0.0112, time cost: 789.58s.
[50/300] Average loss: 0.0115, time cost: 756.44s.
[51/300] Average loss: 0.0114, time cost: 827.05s.
[52/300] Average loss: 0.0112, time cost: 751.12s.
[53/300] Average loss: 0.0113, time cost: 792.40s.
[54/300] Average loss: 0.0117, time cost: 793.28s.
[55/300] Average loss: 0.0117, time cost: 813.63s.
[56/300] Average loss: 0.0113, time cost: 794.39s.
[57/300] Average loss: 0.0114, time cost: 700.36s.
[58/300] Average loss: 0.0118, time cost: 753.89s.
[59/300] Average loss: 0.0113, time cost: 721.06s.
[60/300] Average loss: 0.0117, time cost: 802.77s.
[61/300] Average loss: 0.0112, time cost: 830.50s.
[62/300] Average loss: 0.0110, time cost: 710.97s.
[63/300] Average loss: 0.0113, time cost: 760.43s.
[64/300] Average loss: 0.0114, time cost: 840.81s.
[65/300] Average loss: 0.0114, time cost: 801.41s.
[66/300] Average loss: 0.0111, time cost: 753.67s.
[67/300] Average loss: 0.0114, time cost: 786.12s.
[68/300] Average loss: 0.0110, time cost: 778.50s.
[69/300] Average loss: 0.0117, time cost: 693.45s.
[70/300] Average loss: 0.0110, time cost: 732.25s.
[71/300] Average loss: 0.0113, time cost: 772.75s.
[72/300] Average loss: 0.0109, time cost: 714.93s.
[73/300] Average loss: 0.0112, time cost: 776.03s.
[74/300] Average loss: 0.0115, time cost: 783.41s.
[75/300] Average loss: 0.0112, time cost: 763.86s.
[76/300] Average loss: 0.0115, time cost: 850.62s.
[77/300] Average loss: 0.0111, time cost: 783.43s.
[78/300] Average loss: 0.0111, time cost: 722.57s.
[79/300] Average loss: 0.0114, time cost: 729.30s.
[80/300] Average loss: 0.0115, time cost: 726.45s.
[81/300] Average loss: 0.0109, time cost: 714.44s.
[82/300] Average loss: 0.0109, time cost: 753.34s.
[83/300] Average loss: 0.0112, time cost: 726.00s.
[84/300] Average loss: 0.0111, time cost: 742.56s.
[85/300] Average loss: 0.0112, time cost: 772.32s.
[86/300] Average loss: 0.0111, time cost: 792.12s.
[87/300] Average loss: 0.0109, time cost: 765.28s.
[88/300] Average loss: 0.0111, time cost: 745.69s.
[89/300] Average loss: 0.0113, time cost: 782.85s.
[90/300] Average loss: 0.0111, time cost: 791.18s.
[91/300] Average loss: 0.0109, time cost: 775.25s.
[92/300] Average loss: 0.0110, time cost: 820.94s.
[93/300] Average loss: 0.0112, time cost: 801.26s.
[94/300] Average loss: 0.0110, time cost: 786.17s.
[95/300] Average loss: 0.0110, time cost: 818.01s.
[96/300] Average loss: 0.0116, time cost: 801.91s.
[97/300] Average loss: 0.0111, time cost: 778.16s.
[98/300] Average loss: 0.0111, time cost: 749.06s.
[99/300] Average loss: 0.0106, time cost: 788.22s.
[100/300] Average loss: 0.0114, time cost: 801.86s.
[101/300] Average loss: 0.0111, time cost: 752.29s.
[102/300] Average loss: 0.0114, time cost: 843.62s.
[103/300] Average loss: 0.0111, time cost: 795.16s.
[104/300] Average loss: 0.0109, time cost: 803.16s.
[105/300] Average loss: 0.0112, time cost: 772.10s.
[106/300] Average loss: 0.0110, time cost: 747.42s.
[107/300] Average loss: 0.0110, time cost: 804.21s.
[108/300] Average loss: 0.0115, time cost: 728.11s.
[109/300] Average loss: 0.0107, time cost: 779.71s.
[110/300] Average loss: 0.0107, time cost: 775.49s.
[111/300] Average loss: 0.0115, time cost: 804.35s.
[112/300] Average loss: 0.0114, time cost: 726.91s.
[113/300] Average loss: 0.0107, time cost: 774.51s.
[114/300] Average loss: 0.0108, time cost: 751.69s.
[115/300] Average loss: 0.0111, time cost: 722.16s.
[116/300] Average loss: 0.0109, time cost: 726.28s.
[117/300] Average loss: 0.0113, time cost: 812.22s.
[118/300] Average loss: 0.0116, time cost: 823.73s.
[119/300] Average loss: 0.0113, time cost: 785.35s.
[120/300] Average loss: 0.0110, time cost: 745.10s.
[121/300] Average loss: 0.0108, time cost: 811.79s.
[122/300] Average loss: 0.0112, time cost: 735.96s.
[123/300] Average loss: 0.0109, time cost: 801.08s.
[124/300] Average loss: 0.0114, time cost: 739.18s.
[125/300] Average loss: 0.0111, time cost: 772.92s.
