[119/300] Average loss: 0.0114, time cost: 699.00s.
[120/300] Average loss: 0.0110, time cost: 701.74s.
[121/300] Average loss: 0.0109, time cost: 707.90s.
[122/300] Average loss: 0.0115, time cost: 700.99s.
[123/300] Average loss: 0.0110, time cost: 707.39s.
[124/300] Average loss: 0.0115, time cost: 701.23s.
[125/300] Average loss: 0.0111, time cost: 700.71s.
[126/300] Average loss: 0.0111, time cost: 704.03s.
[127/300] Average loss: 0.0107, time cost: 704.15s.
[128/300] Average loss: 0.0109, time cost: 706.48s.
[129/300] Average loss: 0.0114, time cost: 703.93s.
[130/300] Average loss: 0.0108, time cost: 707.21s.
[131/300] Average loss: 0.0107, time cost: 705.43s.
[132/300] Average loss: 0.0110, time cost: 702.07s.
[133/300] Average loss: 0.0107, time cost: 694.28s.
[134/300] Average loss: 0.0112, time cost: 704.47s.
[135/300] Average loss: 0.0113, time cost: 701.72s.
[136/300] Average loss: 0.0111, time cost: 704.87s.
[137/300] Average loss: 0.0112, time cost: 707.79s.
[138/300] Average loss: 0.0110, time cost: 702.70s.
[139/300] Average loss: 0.0114, time cost: 704.35s.
[140/300] Average loss: 0.0108, time cost: 720.16s.
[141/300] Average loss: 0.0111, time cost: 703.29s.
[142/300] Average loss: 0.0115, time cost: 707.06s.
[143/300] Average loss: 0.0110, time cost: 707.96s.
[144/300] Average loss: 0.0109, time cost: 704.66s.
[145/300] Average loss: 0.0107, time cost: 695.90s.
[146/300] Average loss: 0.0110, time cost: 711.67s.
[147/300] Average loss: 0.0104, time cost: 695.75s.
[148/300] Average loss: 0.0110, time cost: 704.23s.
[149/300] Average loss: 0.0112, time cost: 701.30s.
[150/300] Average loss: 0.0108, time cost: 698.37s.
[151/300] Average loss: 0.0117, time cost: 704.84s.
[152/300] Average loss: 0.0113, time cost: 696.68s.
[153/300] Average loss: 0.0112, time cost: 701.60s.
[154/300] Average loss: 0.0106, time cost: 708.40s.
[155/300] Average loss: 0.0113, time cost: 702.55s.
[156/300] Average loss: 0.0110, time cost: 710.37s.
[157/300] Average loss: 0.0111, time cost: 701.76s.
[158/300] Average loss: 0.0110, time cost: 697.41s.
[159/300] Average loss: 0.0112, time cost: 693.19s.
[160/300] Average loss: 0.0114, time cost: 695.06s.
[161/300] Average loss: 0.0111, time cost: 704.10s.
[162/300] Average loss: 0.0107, time cost: 720.99s.
[163/300] Average loss: 0.0106, time cost: 705.17s.
[164/300] Average loss: 0.0115, time cost: 700.29s.
[165/300] Average loss: 0.0109, time cost: 703.38s.
[166/300] Average loss: 0.0109, time cost: 707.20s.
[167/300] Average loss: 0.0111, time cost: 712.98s.
[168/300] Average loss: 0.0107, time cost: 708.93s.
[169/300] Average loss: 0.0107, time cost: 708.68s.
[170/300] Average loss: 0.0112, time cost: 713.95s.
[171/300] Average loss: 0.0108, time cost: 705.41s.
[172/300] Average loss: 0.0108, time cost: 708.25s.
[173/300] Average loss: 0.0110, time cost: 695.88s.
[174/300] Average loss: 0.0109, time cost: 714.39s.
[175/300] Average loss: 0.0111, time cost: 701.79s.
[176/300] Average loss: 0.0111, time cost: 707.45s.
[177/300] Average loss: 0.0111, time cost: 710.69s.
[178/300] Average loss: 0.0108, time cost: 709.03s.
[179/300] Average loss: 0.0106, time cost: 707.93s.
[180/300] Average loss: 0.0110, time cost: 701.51s.
[181/300] Average loss: 0.0110, time cost: 702.76s.
[182/300] Average loss: 0.0107, time cost: 716.04s.
[183/300] Average loss: 0.0102, time cost: 714.45s.
[184/300] Average loss: 0.0110, time cost: 711.75s.
[185/300] Average loss: 0.0112, time cost: 695.83s.
[186/300] Average loss: 0.0108, time cost: 707.99s.
[187/300] Average loss: 0.0109, time cost: 709.59s.
[188/300] Average loss: 0.0105, time cost: 708.80s.
[189/300] Average loss: 0.0107, time cost: 699.95s.
[190/300] Average loss: 0.0110, time cost: 706.47s.
[191/300] Average loss: 0.0109, time cost: 699.56s.
[192/300] Average loss: 0.0112, time cost: 706.85s.
[193/300] Average loss: 0.0109, time cost: 696.59s.
[194/300] Average loss: 0.0106, time cost: 696.45s.
[195/300] Average loss: 0.0111, time cost: 712.86s.
[196/300] Average loss: 0.0107, time cost: 715.05s.
[197/300] Average loss: 0.0113, time cost: 701.80s.
[198/300] Average loss: 0.0105, time cost: 706.07s.
